metric,lda_score,bertopic_score,winner
c_npmi,0.10504052116988147,0.029342283716932822,LDA
c_v,0.6046699247720284,0.5206864641820171,LDA
u_mass,-0.5616811600884475,-1.2910874119494984,LDA
